id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played
1422055,1.0,4,1.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,35.0,27.0,60.0,8.0,5.0,1.0,80.0,Hiroaki Morishima,2,1998,2002,4
1422059,1.0,1,1.0,0.0,2.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,76.0,66.0,115.0,10.0,11.0,0.0,123.0,Mauricio Pineda,1,1998,1998,3
1422064,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,47.0,100.0,10.0,6.0,0.0,180.0,Ferid Chouchane,1,1998,1998,2
1422067,0.0,2,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,19.0,60.0,9.0,16.0,0.0,134.0,Mourad El Melki,1,2002,2002,2
1422068,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,2.0,0.0,16.0,Faycal Ben Ahmed,1,1998,1998,1
1422069,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,6.0,15.0,2.0,5.0,0.0,35.0,Riadh Jelassi,1,1998,1998,1
1422072,0.0,2,0.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,20.0,50.0,8.0,7.0,0.0,90.0,Pablo Paz,1,1998,1998,1
1422076,0.0,0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,21.0,16.0,30.0,4.0,4.0,0.0,37.0,Sergio Berti,1,1998,1998,2
1422077,0.0,10,6.0,1.0,26.0,11.0,10.0,10.0,9.0,1.0,3.0,1.0,16.0,6.0,203.0,166.0,317.0,26.0,46.0,0.0,457.0,Sylvain Wiltord,2,2002,2006,10
1422096,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,18.0,39.0,5.0,7.0,0.0,76.0,Alassane Ndour,1,2002,2002,1
1422099,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,10.0,23.0,2.0,2.0,0.0,45.0,Elhadj Papa Sarr,1,2002,2002,1
